stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 01b,Monolito atras do NGINX (controle),1,todos,list_orders,6.89,217.33,247.92,305.19,57.93,563.46,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,get_inventory,1.31,10.27,55.78,88.84,6.9,125.19,,,0
Stage 01b,Monolito atras do NGINX (controle),1,low,list_orders,3.1,5.59,6.77,9.81,3.46,21.84,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,get_user,1.31,10.81,56.53,88.78,6.97,125.81,,,0
Stage 01b,Monolito atras do NGINX (controle),1,low,get_product,2.32,4.35,5.41,7.83,2.63,21.48,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,list_orders,1.73,11.21,58.61,90.19,7.49,126.05,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,list_orders,57.75,251.25,276.59,329.74,111.8,563.46,,,0
Stage 01b,Monolito atras do NGINX (controle),1,low,get_user,2.31,4.29,5.27,7.72,2.61,21.26,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,list_products,5.83,216.33,247.33,304.02,56.99,550.12,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,get_user,53.71,250.54,275.26,328.85,110.25,560.79,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,post_order,11.15,222.3,253.83,310.83,61.81,572.92,,,0
Stage 01b,Monolito atras do NGINX (controle),1,high,get_inventory,52.35,249.85,275.55,329.74,109.82,550.11,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,todos,1.58,11.56,57.36,89.68,7.37,126.63,,,
Stage 01b,Monolito atras do NGINX (controle),1,high,todos,56.57,251.71,276.92,331.03,111.6,572.92,,,
Stage 01b,Monolito atras do NGINX (controle),1,medium,post_order,3.43,15.31,61.15,92.49,9.41,126.63,,,0
Stage 01b,Monolito atras do NGINX (controle),1,todos,get_inventory,5.7,215.71,246.68,304.42,56.64,550.11,,,0
Stage 01b,Monolito atras do NGINX (controle),1,medium,list_products,1.33,10.24,56.44,89.02,6.92,125.29,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,todos,6.08,217.55,250.89,309.9,57.21,568.28,1531.9,1562820,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,get_inventory,1.31,9.59,48.0,86.15,6.46,111.82,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,todos,1.59,10.55,48.18,86.53,6.83,126.31,,,
