stage,descricao,run,metric,unit,target,load_level,samples,mean,p95,max
Stage 01,Monolito completo,2,pool_total_conns,conexoes,monolith,medium,30,14.0,14.0,14.0
Stage 01,Monolito completo,2,pool_total_conns,conexoes,monolith,high,30,14.0,14.0,14.0
Stage 01,Monolito completo,2,pool_wait_per_acquire_ms,ms,monolith,low,30,0.013,0.017,0.03
Stage 01,Monolito completo,2,pool_wait_per_acquire_ms,ms,monolith,medium,30,0.143,0.221,0.231
Stage 01,Monolito completo,2,pool_wait_per_acquire_ms,ms,monolith,high,30,0.066,0.091,0.135
Stage 01,Monolito completo,2,pool_empty_acquire_per_s,por segundo,monolith,low,30,5.447,8.4,9.1
Stage 01,Monolito completo,2,pool_empty_acquire_per_s,por segundo,monolith,medium,30,209.763,312.774,323.18
Stage 01,Monolito completo,2,pool_empty_acquire_per_s,por segundo,monolith,high,30,399.113,448.768,481.04
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,api,low,60,40.991,45.088,46.95
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,api,medium,60,84.15,101.516,108.81
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,api,high,60,173.472,181.512,183.77
Stage 01,Monolito completo,2,memory_mb,MB,api,low,60,18.425,19.22,19.31
Stage 01,Monolito completo,2,memory_mb,MB,api,medium,60,24.885,25.625,25.84
Stage 01,Monolito completo,2,memory_mb,MB,api,high,60,36.131,36.844,37.07
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,grafana,low,60,0.055,0.08,0.1
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,grafana,medium,60,0.057,0.1,0.13
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,grafana,high,60,0.053,0.08,0.09
Stage 01,Monolito completo,2,memory_mb,MB,grafana,low,60,48.013,50.07,50.32
Stage 01,Monolito completo,2,memory_mb,MB,grafana,medium,60,44.61,44.85,44.85
Stage 01,Monolito completo,2,memory_mb,MB,grafana,high,60,44.548,44.56,44.81
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,postgres,low,60,29.789,34.428,34.76
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,postgres,medium,60,66.206,78.004,83.76
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,postgres,high,60,145.647,151.134,153.91
Stage 01,Monolito completo,2,memory_mb,MB,postgres,low,60,62.78,65.122,65.62
Stage 01,Monolito completo,2,memory_mb,MB,postgres,medium,60,75.892,84.349,85.36
Stage 01,Monolito completo,2,memory_mb,MB,postgres,high,60,111.814,132.415,134.7
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,prometheus,low,60,0.0,0.0,0.0
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,prometheus,medium,60,0.001,0.0,0.07
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,prometheus,high,60,0.024,0.05,0.09
Stage 01,Monolito completo,2,memory_mb,MB,prometheus,low,60,38.213,39.56,39.56
Stage 01,Monolito completo,2,memory_mb,MB,prometheus,medium,60,38.419,38.66,38.67
Stage 01,Monolito completo,2,memory_mb,MB,prometheus,high,60,38.245,38.71,38.72
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,cadvisor,low,60,0.03,0.311,0.65
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,cadvisor,medium,60,0.042,0.39,0.86
Stage 01,Monolito completo,2,cpu_percent,percentual de um nucleo,cadvisor,high,60,0.026,0.24,0.32
Stage 01,Monolito completo,2,memory_mb,MB,cadvisor,low,60,18.321,19.256,19.74
Stage 01,Monolito completo,2,memory_mb,MB,cadvisor,medium,60,19.262,20.032,20.36
Stage 01,Monolito completo,2,memory_mb,MB,cadvisor,high,60,19.851,20.685,21.05
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,monolith,low,30,38.019,42.08,42.3
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,monolith,medium,30,77.297,81.641,82.42
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,monolith,high,30,161.688,170.488,170.61
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.276,0.4,0.457
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.181,0.22,0.26
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.15,0.18,0.2
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.21,0.24,0.508
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,prometheus,medium,30,0.152,0.18,0.18
Stage 01,Monolito completo,3,process_cpu_percent,percentual de um nucleo,prometheus,high,30,0.123,0.14,0.16
Stage 01,Monolito completo,3,process_memory_mb,MB,monolith,low,30,24.489,25.309,25.492
Stage 01,Monolito completo,3,process_memory_mb,MB,monolith,medium,30,30.405,30.936,31.168
Stage 01,Monolito completo,3,process_memory_mb,MB,monolith,high,30,40.649,41.322,41.5
Stage 01,Monolito completo,3,process_memory_mb,MB,cadvisor,low,30,40.884,43.091,43.281
Stage 01,Monolito completo,3,process_memory_mb,MB,cadvisor,medium,30,41.802,42.789,42.863
Stage 01,Monolito completo,3,process_memory_mb,MB,cadvisor,high,30,43.38,44.548,44.66
Stage 01,Monolito completo,3,process_memory_mb,MB,prometheus,low,30,91.368,91.973,91.973
Stage 01,Monolito completo,3,process_memory_mb,MB,prometheus,medium,30,89.368,91.973,91.973
Stage 01,Monolito completo,3,process_memory_mb,MB,prometheus,high,30,88.978,90.223,90.223
Stage 01,Monolito completo,3,goroutines,goroutines,monolith,low,30,60.267,64.1,77.0
Stage 01,Monolito completo,3,goroutines,goroutines,monolith,medium,30,210.733,223.0,224.0
Stage 01,Monolito completo,3,goroutines,goroutines,monolith,high,30,518.8,542.1,548.0
Stage 01,Monolito completo,3,goroutines,goroutines,cadvisor,low,30,26.767,28.0,28.0
Stage 01,Monolito completo,3,goroutines,goroutines,cadvisor,medium,30,26.933,28.0,28.0
Stage 01,Monolito completo,3,goroutines,goroutines,cadvisor,high,30,26.933,28.0,28.0
Stage 01,Monolito completo,3,goroutines,goroutines,prometheus,low,30,36.033,36.0,37.0
Stage 01,Monolito completo,3,goroutines,goroutines,prometheus,medium,30,36.1,37.0,37.0
Stage 01,Monolito completo,3,goroutines,goroutines,prometheus,high,30,36.167,37.0,37.0
Stage 01,Monolito completo,3,heap_alloc_mb,MB,monolith,low,30,3.838,4.482,4.798
Stage 01,Monolito completo,3,heap_alloc_mb,MB,monolith,medium,30,6.02,6.843,7.227
Stage 01,Monolito completo,3,heap_alloc_mb,MB,monolith,high,30,10.666,12.963,13.17
Stage 01,Monolito completo,3,heap_alloc_mb,MB,cadvisor,low,30,6.309,8.369,9.78
Stage 01,Monolito completo,3,heap_alloc_mb,MB,cadvisor,medium,30,6.584,8.15,8.963
Stage 01,Monolito completo,3,heap_alloc_mb,MB,cadvisor,high,30,6.896,8.716,9.083
Stage 01,Monolito completo,3,heap_alloc_mb,MB,prometheus,low,30,22.797,26.258,26.866
Stage 01,Monolito completo,3,heap_alloc_mb,MB,prometheus,medium,30,22.904,26.127,26.652
Stage 01,Monolito completo,3,heap_alloc_mb,MB,prometheus,high,30,22.254,25.985,26.323
Stage 01,Monolito completo,3,gc_pause_ms,ms,monolith,low,30,0.463,0.568,0.574
Stage 01,Monolito completo,3,gc_pause_ms,ms,monolith,medium,30,0.425,0.51,0.526
Stage 01,Monolito completo,3,gc_pause_ms,ms,monolith,high,30,0.397,0.424,0.433
Stage 01,Monolito completo,3,gc_pause_ms,ms,cadvisor,low,30,0.251,0.61,0.644
Stage 01,Monolito completo,3,gc_pause_ms,ms,cadvisor,medium,30,0.163,0.46,0.461
